dNdx,percent_deltas,track_length
115.212,0,2.70805
134.758,0,2.65661
102.345,0,2.10074
124.204,0,3.34933
171.931,0,0.540915
117.72,0,3.72069
158.854,0,1.98295
160.905,0,1.94525
126.722,0,2.97503
128.412,0,1.71324
261.052,0,0.792946
121.986,0,1.75429
115.02,0,1.791
146.948,0,2.13001
251.926,0,0.762129
131.088,0,2.13597
241.261,0,0.729499
116.648,0.309598,2.76902
274.296,0,0.794761
101.008,0,3.66307
133.788,0,3.0496
117.81,0,3.64145
227.347,0,1.25799
133.439,0,3.09505
1429.22,0,0.120345
125.853,0,3.01939
132.954,0,2.22634
298.928,0,0.414816
116.134,0.203666,4.22786
139.178,0,2.17707
454884,0,0.000136298
146.316,0,2.54244
359.253,0,0.506607
97.4798,0,2.74929
0,0,0.0198531
140.696,0,1.80531
937.301,0,0.124827
121.973,0,2.312
125.203,0,1.53351
134.56,0,1.87277
239.515,0.45045,0.926873
154.286,0,0.550926
497.878,0,0.29927
277.241,0,0.310199
124.2,0,3.32529
422.928,0,0.347577
2482.2,0,0.0286036
286.463,0,0.460793
2446.9,0,0.0469982
231.988,0,0.702621
123.331,0,3.39735
130.988,0,1.94675
452.173,0,0.325097
131.684,0,2.95405
125.88,0,2.42295
459.527,0,0.272019
171.559,0,1.54465
111.042,0,3.8454
142.741,0,1.0999
138.026,0,1.99963
302.524,0,0.429718
169.672,0,1.46753
122.924,0,2.29409
128.203,0,1.87204
225.898,0,0.637456
275.806,0,0.402457
161.212,0.340136,1.82368
157.256,0,1.52617
200.227,0,0.968902
166.554,0,1.7832
162.122,0,1.7641
154.025,0,2.13602
102.134,0,4.31787
181.495,0,1.68049
132.917,0,2.47523
142.58,0,1.37467
1367.65,0,0.0650751
146.945,0,2.27296
155.073,0,1.43158
146.733,0,2.26261
1041.04,0,0.0710824
333.977,0,0.637768
409.184,0,0.493665
129.615,0,2.48429
159.53,0,1.65486
142.11,0,1.21033
129.873,0.26738,2.87973
107.513,0,1.91604
148.966,0,1.1412
142.974,0,1.7136
145.423,0,1.89791
139.211,0,1.68809
112.846,0,3.70416
155.992,0,1.41033
150.39,0,1.72883
299.226,0,0.467874
178.274,0,0.9592
132.064,0,2.0066
336.453,0,0.457716
142.287,0,2.27709
102.631,0,3.1959
84.9782,0,1.78869
154.662,0,1.82979
174.197,0,1.4696
273.568,0,0.548309
487.606,0,0.420421
2258.91,0,0.0451545
124.427,0,1.94491
205.38,0,1.13935
323.828,0,0.342775
126.916,0,2.21406
136.629,0,2.34944
166.184,0,1.00491
778.777,0,0.160508
79.6954,0,0.639937
159.81,0,0.53814
178.814,0,1.06255
110.543,0,1.97208
111.047,0,2.45841
169.32,0,0.96858
277.574,0,0.799786
112.435,0,1.88553
197.425,0,0.871217
112.793,0,3.53745
116.427,0,3.19514
109.861,0,4.12338
299.86,0,0.673647
159.096,0,1.58395
167.15,0,1.30422
117.319,0,1.79851
113.838,0,3.03061
132.128,0,2.59597
119.009,0,2.81491
107.559,0,3.60734
233.568,0,0.753529
129.712,0,3.23794
216.818,0,0.913209
131.51,0,2.39526
148.877,0,1.97479
119.618,0,3.69511
210.115,0,0.380743
155.31,0,2.04752
183.61,0,1.01846
135.192,0,1.50896
130.452,0,2.57567
183.595,0.383142,1.42161
104.067,0,3.64187
129.878,0,2.81032
266.79,0,0.97455
85.5448,0,3.49524
181.041,0,0.972158
146.161,0,2.02516
