dNdx,percent_deltas,track_length
121.407,0,2.61105
123.649,0,3.50993
116.808,0,2.5084
118.035,0,3.56673
159.676,0,1.30263
144.876,0,1.52544
131.58,0,1.52759
111.913,0,2.73426
111.434,0,3.14985
222.843,0,1.28341
116.858,0,3.14056
116.319,0,3.07774
166.796,0,1.21706
103.656,0,3.62738
138.464,0,2.33996
271.845,0,1.133
170.218,0,1.34534
223.17,0,1.08437
120.01,0.297619,2.79977
101.947,0,2.25607
247.766,0,0.916188
146.733,0,1.73785
163.003,0,1.41102
120.102,0,3.56364
287.414,0,0.393161
223.217,0,1.10655
212.119,0,1.00887
193.06,0,1.07738
129.315,0,1.15996
112.905,0,3.2328
111.936,0,3.83254
107.587,0,3.24388
140.867,0,1.99479
5103.62,0,0.0246883
182.425,0,1.72674
149.311,0,2.04942
150.51,0,0.830512
479.045,0,0.237973
120.923,0,3.13423
119.715,0,2.4642
511.503,0,0.271748
152.324,0,1.49024
2265.1,0,0.0737274
143.193,0,2.06016
122.946,0,2.9932
622.156,0.649351,0.247526
263.538,0,0.607123
715.177,0,0.173384
153.128,0,0.816311
233.984,0,0.777831
145.193,0,1.70118
180.476,0,1.27995
291.054,0,0.467267
364.022,0,0.788415
113.642,0,3.38783
128.745,0,1.98843
125.534,0,2.38979
121.99,0,3.38551
447.292,0,0.274988
134.652,0,1.73038
123.234,0,3.10791
120.343,0,2.6923
214.367,0,0.909653
103.315,0,3.15541
103.703,0,2.20823
233.156,0,0.729126
111.964,0,2.9831
132.359,0,1.65459
118.069,0,2.2275
137.645,0.255102,2.84791
139.527,0,2.20029
112.532,0,3.14577
115.116,0,3.50081
281.351,0,0.486936
181.275,0.456621,1.20811
140.161,0,2.26168
136.614,0.613497,2.38629
137.623,0,2.33973
333.93,0,0.335399
682.666,0,0.320801
125.985,0,3.14323
114.386,0,1.99324
129.72,0,0.979029
148.332,0,1.98204
206.455,0,1.06077
123.224,0,2.5482
170.954,0,2.01809
190.328,0,1.49216
109.658,0,3.31941
136.755,0,1.49172
348.417,0,0.513752
246.322,0,0.5846
131.217,0,1.59278
1386.55,0,0.0714003
116.525,0.26178,3.27825
180.52,0,1.22978
645.751,0,0.294231
135.15,0,1.44284
1580.03,0,0.136073
459.012,0,0.381253
184.975,0,1.10285
125.021,0,3.59141
241.114,0,0.646997
150.589,0,2.25116
322.688,0,0.545418
114.805,0,2.80475
219.892,0,1.00959
138.57,0,1.98455
169.372,0,1.16312
110.905,0,3.68785
