dNdx,percent_deltas,track_length
109.179,0,4.39646
457.012,0,0.321655
171.463,0,1.03812
149.862,0,1.60148
105.626,0,2.55619
312.413,0,0.432121
114.069,0,2.367
228.819,0,0.8085
110.78,0,2.69905
124.108,0,2.34473
940.017,0,0.132976
509.361,0,0.2297
4728.04,0,0.0245345
110.635,0,3.42567
578.844,0,0.245317
139.359,0,2.50432
699.11,0,0.237445
524.828,0,0.234363
121.394,0,2.67723
169.095,0,1.58491
165.31,0,1.63934
233.885,0,0.799538
144.189,0,2.41349
164.112,0,2.07785
116.354,0,2.69008
120.859,0,3.28483
160.876,0.440529,1.41102
132.494,0,2.29444
124.607,0,3.24219
399.967,0,0.500041
208.573,0,0.834241
138.373,0,1.06958
221.531,0,0.577798
193.652,0,1.32713
131.064,0.628931,1.21315
167.409,0,1.24844
207.079,0,0.719532
121.436,0,2.69278
149.378,0,1.98824
141.364,0,1.66945
113.346,0,3.27315
699.728,0,0.388722
306.198,0,0.41803
134.359,0,2.08397
111.006,0,3.74753
115.702,0,2.8176
254.613,0,0.439884
133.17,0,3.54435
120.405,0,3.25568
104.861,0,2.73696
97.8618,0,3.57647
204.064,0,0.960482
113.244,0,3.44391
152.782,0,1.62977
222.362,0,0.715051
322.677,0,0.464861
133.724,0,2.9015
145.461,0,2.04866
113.815,0,2.14382
170.862,0,1.67972
161.509,0,1.78318
109.504,0,3.88115
118.312,0,3.30481
120.936,0,3.16696
283.132,0,0.851194
125.384,0,2.57609
155.584,0,1.61328
345.741,0,0.503266
146.168,0,1.87455
129.079,0,2.22345
600.489,0,0.118237
1676.13,0,0.0900885
257.891,0,0.550621
146.023,0,1.76
300.89,0,0.564991
134.96,0,1.65975
646.038,0,0.182652
115.77,0,2.72955
1016.25,0,0.119065
154.932,0,1.0069
285.621,0,0.39563
803.641,0,0.141854
110.486,0.268097,3.37601
129.334,0,1.39174
97.9139,0,4.73886
182.492,0,1.24937
118.083,0,2.14256
92.9752,0,3.2912
141.094,0,2.71451
249.07,0,0.670494
112.925,0,3.3562
127.137,0.462963,1.69895
126.583,0,3.10468
102.485,0,3.2883
123.6,0,3.09061
141.265,1.08696,0.651257
130.772,0,2.51583
252.218,0,0.761246
122.75,0,3.07944
504.795,0,0.186214
917.913,0,0.0806177
128.415,0,2.65546
215.083,0,0.822937
185.72,0,0.942279
127.351,0,1.80603
158.826,0,1.47331
234.268,0,1.01166
118.858,0,1.93509
113.536,0,2.3781
137.742,0.27933,2.59907
139.806,0,2.77527
78.2543,0,0.345029
107.929,0,2.71475
109.111,0,4.04177
518.754,0,0.248673
837.338,0,0.118232
105.279,0,2.99206
150.324,0,1.25728
104.186,0,3.04262
133.314,0,1.21518
4.04202,0,2.22661
113.652,0,3.5107
220.673,0,0.607232
133.086,0,0.638684
358.912,0,0.554453
112.225,0,2.86924
144.202,0,0.846034
115.296,0,2.3071
237.638,0,0.345063
247.304,0,0.711674
107.824,0,2.9307
789.181,0,0.138118
132.505,0,2.23388
215.81,0,0.894307
136.82,0,2.58004
98.5907,0,3.3776
108.948,0,3.15747
137.278,0,1.71914
163.666,0,1.46029
157.628,0,1.56698
113.853,0,2.9863
117.263,0,1.64587
185.056,0,1.41579
140.957,0,1.29827
166.974,0,1.28164
143.481,0,1.95147
699.609,0,0.144366
148.717,0,1.95674
150.907,0,1.47773
139.5,0,1.62724
150.623,0,1.60002
121.11,0,2.58442
609.632,0,0.159112
188.274,0,0.791401
105.223,0,3.15521
198.777,0,0.9156
218.432,0,0.933928
168.701,0,1.04919
116.443,0,2.44755
177.579,0,0.737699
141.994,0,1.96487
116.558,0,2.51378
1232.86,0,0.0494785
847.526,0,0.176986
134.612,0,3.0458
89.5569,0,2.06572
172.343,0,1.11986
91.8638,0,2.40573
98.9005,0,3.44791
114.25,0,2.74836
118.904,0.595238,1.4129
104.662,0,3.79316
116.776,0,2.67177
129.006,0,1.93014
199.858,0,0.990701
198.809,0,0.764555
112.994,0,3.53115
182.776,0,1.57023
257.069,0,0.657411
573.407,0,0.442967
159.173,0,1.41356
125.982,0,2.13523
301.213,0,0.737019
134.766,0,2.72324
115.636,0,2.79324
155.943,0,1.00037
178.302,0,0.544019
296.596,0,0.495623
130.436,0,2.28464
134.927,0,2.43836
261.235,0,0.6431
111.891,0,2.94037
113.102,0,2.84698
776.364,0,0.0953161
139.892,0,1.38678
113.836,0,1.87989
1211.48,0,0.228645
116.712,0,3.59004
279.862,0,0.560991
