time_ns,signal
486.25,-0.000138551
486.75,-0.000138515
487.25,-0.000138478
487.75,-0.000138442
488.25,-0.000138405
488.75,-0.000138369
489.25,-0.000138333
489.75,-0.000138297
490.25,-0.000138262
490.75,-0.000138227
491.25,-0.000138193
491.75,-0.00013816
492.25,-0.000138127
492.75,-0.000138095
493.25,-0.000138064
493.75,-0.000138033
494.25,-0.000138003
494.75,-0.000137975
495.25,-0.000137947
495.75,-0.000137919
496.25,-0.000137893
496.75,-0.000137867
497.25,-0.000137843
497.75,-0.000137819
498.25,-0.000137796
498.75,-0.000137773
499.25,-0.000137748
499.75,-0.000137722
