gen_time,drift_time,long_diffusion,trans_diffusion
0.0234473,2325.72,0.007077,0.012014
0.0162046,3161.86,0.007076,0.011993
0.0346931,1634.99,0.007078,0.012033
0.0279711,2054.13,0.007077,0.01202
0.0129526,2883.07,0.007076,0.011997
0.0269944,2054.13,0.007077,0.01202
0.032864,1807.42,0.007078,0.012027
0.0152152,3161.86,0.007076,0.011993
0.00932999,2660.2,0.007076,0.012
0.01188,2883.07,0.007076,0.011997
0.0138315,2883.07,0.007076,0.011997
0.0048939,2474.68,0.007077,0.012011
0.034497,1634.99,0.007078,0.012033
0.0309054,1807.42,0.007078,0.012027
0.00254451,2325.72,0.007077,0.012014
0.0275492,2054.13,0.007077,0.01202
0.0234791,2325.72,0.007077,0.012014
0.020789,2660.2,0.007076,0.012
0.0180923,3161.86,0.007076,0.011993
0.00159317,2325.72,0.007077,0.012014
0.0107542,2660.2,0.007076,0.012
0.014627,2883.07,0.007076,0.011997
0.00789342,2474.68,0.007077,0.012011
0.0225572,2325.72,0.007077,0.012014
0.00817338,2660.2,0.007076,0.012
0.0118251,2883.07,0.007076,0.011997
0.0215619,2660.2,0.007076,0.012
0.00156046,2325.72,0.007077,0.012014
0.0257446,2325.72,0.007077,0.012014
0.00236165,2325.72,0.007077,0.012014
0.00289569,2325.72,0.007077,0.012014
0.0313748,1807.42,0.007078,0.012027
0.0207684,2660.2,0.007076,0.012
0.0160749,3161.86,0.007076,0.011993
0.0271614,2054.13,0.007077,0.01202
0.0166865,3161.86,0.007076,0.011993
0.024052,2325.72,0.007077,0.012014
0.029452,2054.13,0.007077,0.01202
0.008758,2660.2,0.007076,0.012
0.00303362,2325.72,0.007077,0.012014
0.0129905,2883.07,0.007076,0.011997
0.0150813,2883.07,0.007076,0.011997
0.00188367,2325.72,0.007077,0.012014
0.00212696,2325.72,0.007077,0.012014
0.0203946,2660.2,0.007076,0.012
0.031494,1807.42,0.007078,0.012027
0.0284694,2054.13,0.007077,0.01202
0.0070081,2474.68,0.007077,0.012011
0.014985,2883.07,0.007076,0.011997
0.0119992,2883.07,0.007076,0.011997
0.00869987,2660.2,0.007076,0.012
0.00840313,2660.2,0.007076,0.012
0.00141388,2325.72,0.007077,0.012014
0.0307169,1807.42,0.007078,0.012027
0.0245239,2325.72,0.007077,0.012014
0.0170321,3161.86,0.007076,0.011993
0.0278417,2054.13,0.007077,0.01202
0.028976,2054.13,0.007077,0.01202
0.0300802,1807.42,0.007078,0.012027
0.0234599,2325.72,0.007077,0.012014
0.0142886,2883.07,0.007076,0.011997
0.0136714,2716.54,0.007076,0.011996
0.00968229,2438.84,0.007077,0.012008
0.0102322,2438.84,0.007077,0.012008
0.00377383,2167.93,0.007077,0.012013
0.0184228,2918.04,0.007076,0.011994
0.00147086,2013.3,0.007077,0.012016
0.0317922,1657.28,0.007078,0.012026
0.00889194,2330.71,0.007077,0.012009
0.0346786,1457.12,0.007078,0.012033
0.0326076,1657.28,0.007078,0.012026
0.034108,1657.28,0.007078,0.012026
0.00392499,2167.93,0.007077,0.012013
0.000188094,2013.3,0.007077,0.012016
0.0134933,2716.54,0.007076,0.011996
0.013629,2716.54,0.007076,0.011996
0.0222847,2438.84,0.007077,0.012008
0.0246342,2167.93,0.007077,0.012013
0.0217115,2438.84,0.007077,0.012008
0.0133189,2716.54,0.007076,0.011996
0.0187525,2918.04,0.007076,0.011994
0.0257239,2167.93,0.007077,0.012013
0.0165355,2918.04,0.007076,0.011994
0.0339614,1657.28,0.007078,0.012026
0.00949433,2438.84,0.007077,0.012008
0.000602821,2013.3,0.007077,0.012016
0.0163838,2716.54,0.007076,0.011996
