gen_time,drift_time,long_diffusion,trans_diffusion
0.021634,3006.9,0.007076,0.011998
0.0235516,2805.79,0.007077,0.012009
0.00742154,2038,0.007077,0.012021
0.017165,3439.87,0.007076,0.011994
0.0278169,2475.8,0.007077,0.012011
0.0172566,3258.85,0.007076,0.011995
0.00431436,2038,0.007077,0.012021
0.0169148,3439.87,0.007076,0.011994
0.0236366,2805.79,0.007077,0.012009
0.00287459,1827.4,0.007078,0.012027
0.0238968,2805.79,0.007077,0.012009
0.0213848,3006.9,0.007076,0.011998
0.00772837,2038,0.007077,0.012021
0.00373255,1827.4,0.007078,0.012027
0.0143136,2931.46,0.007076,0.012003
0.00269985,1827.4,0.007078,0.012027
0.0024678,1827.4,0.007078,0.012027
0.00798877,2310.81,0.007077,0.012014
0.0102758,2656.97,0.007077,0.01201
0.0313259,2310.81,0.007077,0.012014
0.00896861,2656.97,0.007077,0.01201
0.0186493,3258.85,0.007076,0.011995
0.0199134,3006.9,0.007076,0.011998
0.00715285,2038,0.007077,0.012021
0.0205961,3006.9,0.007076,0.011998
0.0298729,2310.81,0.007077,0.012014
0.0151587,3439.87,0.007076,0.011994
0.0108231,2656.97,0.007077,0.01201
0.0278887,2475.8,0.007077,0.012011
0.00489734,2038,0.007077,0.012021
0.0074289,2038,0.007077,0.012021
0.0120783,2192.38,0.007076,0.011993
0.0232514,2172.57,0.007077,0.012008
0.0172872,2254.07,0.007076,0.012
0.013616,2477.97,0.007076,0.011997
0.00407474,1467.77,0.007076,0.012005
0.013887,2254.07,0.007076,0.012
0.0231627,2172.57,0.007077,0.012008
0.0115927,2192.38,0.007076,0.011993
0.0172343,2254.07,0.007076,0.012
0.0319706,2187.81,0.007077,0.012017
0.032413,2038,0.007077,0.012021
0.0268511,1986.54,0.007077,0.012012
0.0244248,2172.57,0.007077,0.012008
0.0292541,1849.83,0.007077,0.012015
0.0150252,2254.07,0.007076,0.012
0.0224047,2172.57,0.007077,0.012008
0.00259589,1047.48,0.007076,0.012006
0.0191012,2067.83,0.007076,0.012002
0.0262317,1986.54,0.007077,0.012012
0.00538314,1467.77,0.007076,0.012005
0.0213424,1874.62,0.007076,0.012006
0.0148716,2254.07,0.007076,0.012
0.0272513,1986.54,0.007077,0.012012
0.0272533,1986.54,0.007077,0.012012
0.027613,1986.54,0.007077,0.012012
0.0185693,2067.83,0.007076,0.012002
0.0204367,2067.83,0.007076,0.012002
0.0302309,1849.83,0.007077,0.012015
0.0295697,1849.83,0.007077,0.012015
0.0228538,2172.57,0.007077,0.012008
0.00634038,1467.77,0.007076,0.012005
0.0240121,2172.57,0.007077,0.012008
0.0173767,2254.07,0.007076,0.012
0.0118852,2192.38,0.007076,0.011993
0.0133648,2477.97,0.007076,0.011997
0.024976,1986.54,0.007077,0.012012
0.0133176,2477.97,0.007076,0.011997
0.0263046,1986.54,0.007077,0.012012
0.0291067,1849.83,0.007077,0.012015
0.0217605,1874.62,0.007076,0.012006
0.0128607,2477.97,0.007076,0.011997
0.0119199,2192.38,0.007076,0.011993
0.0194688,2067.83,0.007076,0.012002
0.0112875,2192.38,0.007076,0.011993
0.0270915,1986.54,0.007077,0.012012
0.0283579,1849.83,0.007077,0.012015
0.0023183,1047.48,0.007076,0.012006
0.0201358,2067.83,0.007076,0.012002
0.0178398,2067.83,0.007076,0.012002
0.0212088,1874.62,0.007076,0.012006
0.0221621,2172.57,0.007077,0.012008
0.0134517,2477.97,0.007076,0.011997
0.0266792,1986.54,0.007077,0.012012
0.0251478,1986.54,0.007077,0.012012
0.014899,2254.07,0.007076,0.012
0.00149165,1047.48,0.007076,0.012006
0.00481919,1467.77,0.007076,0.012005
0.0313825,2187.81,0.007077,0.012017
0.00345472,1279.57,0.007076,0.011999
