============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 131, hits = 44, fitted = 1, converged = 1, chi2 = 88.011, ndf = 83, X2v = 1.06037
>>> Track = 132, hits = 17, fitted = 1, converged = 1, chi2 = 34.0026, ndf = 29, X2v = 1.1725
>>> Track = 133, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 134, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 135, hits = 46, fitted = 1, converged = 1, chi2 = 92.0114, ndf = 87, X2v = 1.0576
>>> Track = 136, hits = 55, fitted = 1, converged = 1, chi2 = 110.029, ndf = 105, X2v = 1.0479
>>> Track = 138, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 139, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 140, hits = 55, fitted = 1, converged = 1, chi2 = 110.03, ndf = 105, X2v = 1.0479
>>> Track = 141, hits = 43, fitted = 1, converged = 1, chi2 = 86.0104, ndf = 81, X2v = 1.06186
>>> Track = 142, hits = 33, fitted = 1, converged = 1, chi2 = 66.008, ndf = 61, X2v = 1.0821
>>> Track = 143, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 144, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 145, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 148, hits = 55, fitted = 1, converged = 1, chi2 = 110.03, ndf = 105, X2v = 1.04791
>>> Track = 149, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 150, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 151, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 152, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 153, hits = 55, fitted = 1, converged = 1, chi2 = 110.029, ndf = 105, X2v = 1.04789
>>> Track = 154, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04786
>>> Track = 155, hits = 39, fitted = 1, converged = 1, chi2 = 78.0088, ndf = 73, X2v = 1.06861
>>> Track = 156, hits = 50, fitted = 1, converged = 1, chi2 = 100.014, ndf = 95, X2v = 1.05277
>>> Track = 157, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 158, hits = 6, fitted = 1, converged = 1, chi2 = 12.0004, ndf = 7, X2v = 1.71435
>>> Track = 159, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04789
>>> Track = 161, hits = 51, fitted = 1, converged = 1, chi2 = 102.012, ndf = 97, X2v = 1.05167
>>> Track = 162, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 163, hits = 18, fitted = 1, converged = 1, chi2 = 36.0029, ndf = 31, X2v = 1.16138
>>> Track = 164, hits = 55, fitted = 1, converged = 1, chi2 = 110.017, ndf = 105, X2v = 1.04778
>>> Track = 165, hits = 55, fitted = 1, converged = 1, chi2 = 110.029, ndf = 105, X2v = 1.04789
>>> Track = 166, hits = 44, fitted = 1, converged = 1, chi2 = 88.0106, ndf = 83, X2v = 1.06037
>>> Track = 167, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04787
>>> Track = 168, hits = 55, fitted = 1, converged = 1, chi2 = 110.031, ndf = 105, X2v = 1.04791
>>> Track = 169, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 170, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 171, hits = 32, fitted = 1, converged = 1, chi2 = 64.0075, ndf = 59, X2v = 1.08487
>>> Track = 172, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 173, hits = 30, fitted = 1, converged = 1, chi2 = 60.0066, ndf = 55, X2v = 1.09103
>>> Track = 174, hits = 30, fitted = 1, converged = 1, chi2 = 60.0064, ndf = 55, X2v = 1.09103
>>> Track = 175, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 176, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 177, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 179, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 180, hits = 51, fitted = 1, converged = 1, chi2 = 102.013, ndf = 97, X2v = 1.05168
>>> Track = 182, hits = 40, fitted = 1, converged = 1, chi2 = 80.01, ndf = 75, X2v = 1.0668
>>> Track = 183, hits = 6, fitted = 1, converged = 1, chi2 = 12.0006, ndf = 7, X2v = 1.71436
>>> Track = 184, hits = 55, fitted = 1, converged = 1, chi2 = 110.015, ndf = 105, X2v = 1.04776
>>> Track = 185, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04788
>>> Track = 186, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04789
>>> Track = 187, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 188, hits = 26, fitted = 1, converged = 1, chi2 = 52.0052, ndf = 47, X2v = 1.10649
>>> Track = 189, hits = 39, fitted = 1, converged = 1, chi2 = 78.0092, ndf = 73, X2v = 1.06862
>>> Track = 190, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 191, hits = 47, fitted = 1, converged = 1, chi2 = 94.0116, ndf = 89, X2v = 1.05631
>>> Track = 192, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04787
>>> Track = 193, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04786
>>> Track = 194, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 195, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 196, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 197, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 198, hits = 55, fitted = 1, converged = 1, chi2 = 110.015, ndf = 105, X2v = 1.04776
>>> Track = 199, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 200, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 201, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 202, hits = 55, fitted = 1, converged = 1, chi2 = 110.017, ndf = 105, X2v = 1.04779
>>> Track = 203, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 204, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04787
>>> Track = 205, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 206, hits = 39, fitted = 1, converged = 1, chi2 = 78.0087, ndf = 73, X2v = 1.06861
>>> Track = 207, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 208, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 209, hits = 18, fitted = 1, converged = 1, chi2 = 36.003, ndf = 31, X2v = 1.16139
>>> Track = 210, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 211, hits = 44, fitted = 1, converged = 1, chi2 = 88.0115, ndf = 83, X2v = 1.06038
